subject_ID,subject_index,condition,block,X,Ntrials,posterior_prob,choice_prob
6724c80675133c29b7257f6a,1.0,low_reward,1.0,122.0,13.0,0.05935094310276758,0.38461538461538464
6724c80675133c29b7257f6a,1.0,low_reward,1.0,131.0,15.0,0.11181576977811694,0.3333333333333333
6724c80675133c29b7257f6a,1.0,low_reward,1.0,140.0,6.0,0.20076000891310178,0.0
6724c80675133c29b7257f6a,1.0,low_reward,1.0,203.0,2.0,0.0735875561175735,0.0
6724c80675133c29b7257f6a,1.0,low_reward,1.0,212.0,9.0,0.13680688860321,0.0
6724c80675133c29b7257f6a,1.0,low_reward,1.0,221.0,17.0,0.24025307335204216,0.4117647058823529
6724c80675133c29b7257f6a,1.0,low_reward,1.0,230.0,11.0,0.38686317984685703,0.36363636363636365
6724c80675133c29b7257f6a,1.0,low_reward,1.0,302.0,3.0,0.2847472489508014,0.0
6724c80675133c29b7257f6a,1.0,low_reward,1.0,311.0,9.0,0.44268836623770724,0.6666666666666666
6724c80675133c29b7257f6a,1.0,low_reward,1.0,320.0,11.0,0.6131368201531431,0.9090909090909091
6724c80675133c29b7257f6a,1.0,low_reward,1.0,401.0,3.0,0.666139424583122,0.6666666666666666
6724c80675133c29b7257f6a,1.0,low_reward,1.0,410.0,6.0,0.7992399910868982,0.8333333333333334
6724c80675133c29b7257f6a,1.0,low_reward,1.0,500.0,2.0,0.9090909090909091,1.0
6724c80675133c29b7257f6a,1.0,low_reward,1.0,1013.0,2.0,0.059350943102767575,0.0
6724c80675133c29b7257f6a,1.0,low_reward,1.0,1022.0,5.0,0.11181576977811694,0.0
6724c80675133c29b7257f6a,1.0,low_reward,1.0,1031.0,5.0,0.20076000891310175,0.8
6724c80675133c29b7257f6a,1.0,low_reward,1.0,1040.0,3.0,0.33386057541687797,0.3333333333333333
6724c80675133c29b7257f6a,1.0,low_reward,1.0,1103.0,1.0,0.13680688860321,0.0
6724c80675133c29b7257f6a,1.0,low_reward,1.0,1112.0,7.0,0.24025307335204213,0.2857142857142857
6724c80675133c29b7257f6a,1.0,low_reward,1.0,1121.0,13.0,0.386863179846857,0.5384615384615384
6724c80675133c29b7257f6a,1.0,low_reward,1.0,1130.0,9.0,0.5573116337622928,0.4444444444444444
