subject_ID,subject_index,exclude_Ixr,trial_ID,trial_index,observation_1,observation_2,observation_3,observation_4,observation_5,latent_state,optimal_choice,correct,intertrial_duration,trial_start_time,choice,rt,observation_encoding,observation_encoding_ew,observation_encoding_iw
5e8a69c836bc63718a82cb90,0.0,0.0,409.0,121.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.5707,1599.7717,2.0,0.2092,41.0,5,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,28.0,122.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,0.699,1602.2433,2.0,0.1568,311.0,32,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,477.0,123.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,0.6257,1604.8065,2.0,0.1315,221.0,23,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,58.0,124.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.1948,1607.2604,1.0,0.2429,401.0,41,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,135.0,125.0,4.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,0.7105,1614.4272,1.0,0.2026,2120.0,32,2000.0
5e8a69c836bc63718a82cb90,0.0,0.0,257.0,126.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.6326,1617.0448,1.0,0.0033,1400.0,50,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,137.0,127.0,4.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,0.6924,1619.3277,1.0,0.2422,2120.0,32,2000.0
5e8a69c836bc63718a82cb90,0.0,0.0,109.0,128.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,1.2312,1621.9112,1.0,0.3726,1220.0,32,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,154.0,129.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.5937,1625.1446,1.0,0.258,410.0,41,410.0
5e8a69c836bc63718a82cb90,0.0,0.0,458.0,130.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,0.4612,1629.6453,2.0,0.258,131.0,14,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,530.0,131.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.2558,1632.0125,2.0,0.2255,50.0,5,50.0
5e8a69c836bc63718a82cb90,0.0,0.0,100.0,132.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.3442,1635.1451,1.0,0.294,320.0,32,320.0
5e8a69c836bc63718a82cb90,0.0,0.0,520.0,133.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.615,1641.8781,2.0,0.1679,50.0,5,50.0
5e8a69c836bc63718a82cb90,0.0,0.0,49.0,134.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0,0.0,0.6267,1644.3781,2.0,0.3531,2111.0,32,2001.0
5e8a69c836bc63718a82cb90,0.0,0.0,149.0,135.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,0.8653,1647.0776,1.0,0.199,410.0,41,410.0
5e8a69c836bc63718a82cb90,0.0,0.0,17.0,136.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,0.0,1.0975,1649.8396,2.0,0.2471,1121.0,23,1001.0
5e8a69c836bc63718a82cb90,0.0,0.0,598.0,137.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,1.2946,1652.8888,1.0,0.1262,410.0,41,410.0
5e8a69c836bc63718a82cb90,0.0,0.0,394.0,138.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,5.2988,1655.9447,2.0,0.1257,1112.0,23,1002.0
5e8a69c836bc63718a82cb90,0.0,0.0,406.0,139.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1.1989,1671.0782,1.0,0.4518,41.0,5,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,19.0,140.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,0.0,0.6804,1674.4241,2.0,0.0027,1121.0,23,1001.0
